cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.96
150,237,0,174,12,1069,675,28,37.43
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.99
145,0,179,202,8,824,869,28,10.54
149,118,92,183,7,953,780,28,23.52
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
145.4,0,178.9,201.7,7.8,824,868.7,28,10.54
147,115,89,202,9,860,829,28,19.99
148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.7
149,139,109,193,6,892,780,28,23.69
148,0,182,181,15,839,884,28,15.52
148.1,0,182.1,181.4,15,838.9,884.3,28,15.53
149,153,194,192,8,935,623,28,24.58
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35
152.7,144.7,0,178.1,8,999.7,822.2,28,19.01
152,178,139,168,18,944,695,28,36.35
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.57
151,0,184,167,12,991,772,28,15.57
153,145,0,178,8,1000,822,28,19.01
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46
151,0,185,167,16,1074,678,28,13.46
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.86
153,145,113,178,8,1002,689,28,25.56
153,145,113,178,8,867,824,28,26.23
153.1,145,113,178.5,8,867.2,824,28,26.23
153.1,145,113,178.5,8,1001.9,688.7,28,25.56
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18
153,239,0,200,6,1002,684,28,26.86
152,0,112,184,8,992,816,28,12.18
153,102,0,192,0,888,943.1,3,4.78
153,102,0,192,0,888,943.1,28,17.96
153,102,0,192,0,888,943.1,90,26.32
153,102,0,192,0,888,943.1,7,8.37
158.8,238.2,0,185.7,0,1040.6,734.3,7,9.62
158.8,238.2,0,185.7,0,1040.6,734.3,28,21.07
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36
156,243,0,180,11,1022,698,28,37.36
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.79
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29
155,183,0,193,9,877,868,28,23.79
155,183,0,193,9,1047,697,28,18.28
157,236,0,192,0,935.4,781.2,90,43.38
157,236,0,192,0,935.4,781.2,28,33.66
157,236,0,192,0,935.4,781.2,7,16.89
157,236,0,192,0,935.4,781.2,3,9.69
155,184,143,194,9,880,699,28,28.99
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
159.8,250,0,168.4,12.2,1049.3,688.2,28,39.46
160,250,0,168,12,1049,688,28,39.45
159,187,0,176,11,990,789,28,32.76
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.77
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.74
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46
155,0,143,193,9,877,868,28,9.74
155,0,143,193,9,1047,697,28,12.46
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
154,144,112,220,10,923,658,28,16.5
165,0,143.6,163.8,0,1005.6,900.9,3,14.4
165,0,143.6,163.8,0,1005.6,900.9,14,16.88
165,0,143.6,163.8,0,1005.6,900.9,28,26.2
165,0,143.6,163.8,0,1005.6,900.9,56,36.56
165,0,143.6,163.8,0,1005.6,900.9,100,37.96
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68
160,128,122,182,6.4,824,879,28,39.4
159,149,116,175,15,953,720,28,27.68
157,214,152,200,9,819,704,28,33.05
154,174,185,228,7,845,612,28,24.34
165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
165,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
165,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
165,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
156,178,187,221,7,854,614,28,29.41
159,209,161,201,7,848,669,28,30.88
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76
166.1,0,163.3,176.5,4.5,1058.6,780.1,14,25.48
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63
166.1,0,163.3,176.5,4.5,1058.6,780.1,100,33.54
167,75.4,167,164,7.9,1007.3,770.1,3,15.52
167,75.4,167,164,7.9,1007.3,770.1,14,32.9
167,75.4,167,164,7.9,1007.3,770.1,28,41.41
167,75.4,167,164,7.9,1007.3,770.1,56,53.46
167,75.4,167,164,7.9,1007.3,770.1,100,56.81
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76
162,190,148,179,19,838,741,28,33.76
160,188,146,203,11,829,710,28,32.84
160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.31
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
168,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85
168,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
166,260,0,183,13,859,827,28,37.91
162,214,164,202,10,820,680,28,30.65
166,259.7,0,183.2,12.7,858.8,826.8,28,37.92
158,0,195,220,11,898,713,28,8.54
158.4,0,194.9,219.7,11,897.7,712.9,28,8.54
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
164,163,128,197,8,961,641,28,27.23
162,207,172,216,10,822,638,28,39.84
164,0,200,181,13,849,846,28,15.09
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03
164.2,0,200.1,181.2,12.6,849.3,846,28,15.09
166.8,250.2,0,203.5,0,975.6,692.6,3,6.9
166.8,250.2,0,203.5,0,975.6,692.6,28,33.95
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75
166.8,250.2,0,203.5,0,975.6,692.6,90,43.57
165,0,150,182,12,1023,729,28,18.03
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
167,187,195,185,7,898,636,28,23.89
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
170.3,155.5,0,185.7,0,1026.6,724.3,28,25.73
170.3,155.5,0,185.7,0,1026.6,724.3,7,10.73
178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
178,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
173,116,0,192,0,946.8,856.8,7,11.39
173,116,0,192,0,946.8,856.8,3,6.94
173,116,0,192,0,946.8,856.8,28,24.28
173,116,0,192,0,946.8,856.8,90,32.1
181.9,272.8,0,185.7,0,1012.4,714.3,28,27.94
181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37
182,45.2,122,170.2,8.2,1059.4,780.7,3,7.32
182,45.2,122,170.2,8.2,1059.4,780.7,14,21.5
182,45.2,122,170.2,8.2,1059.4,780.7,28,31.27
182,45.2,122,170.2,8.2,1059.4,780.7,56,43.5
182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67
181.4,0,167,169.6,7.6,1055.6,777.8,3,13.62
181.4,0,167,169.6,7.6,1055.6,777.8,14,21.6
181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77
181.4,0,167,169.6,7.6,1055.6,777.8,56,35.57
181.4,0,167,169.6,7.6,1055.6,777.8,100,45.37
186.2,124.1,0,185.7,0,1083.4,764.3,7,8
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.6
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45
190.3,0,125.2,161.9,9.9,1088.1,802.6,14,22.72
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39
190.7,0,125.4,162.1,7.8,1090,804,3,15.04
190.7,0,125.4,162.1,7.8,1090,804,14,21.06
190.7,0,125.4,162.1,7.8,1090,804,28,26.4
190.7,0,125.4,162.1,7.8,1090,804,56,35.34
190.7,0,125.4,162.1,7.8,1090,804,100,40.57
190.3,0,125.2,166.6,9.9,1079,798.9,3,12.55
190.3,0,125.2,166.6,9.9,1079,798.9,14,19.42
190.3,0,125.2,166.6,9.9,1079,798.9,28,24.85
190.3,0,125.2,166.6,9.9,1079,798.9,56,31.72
190.3,0,125.2,166.6,9.9,1079,798.9,100,33.56
183.9,122.6,0,203.5,0,959.2,800,3,4.9
183.9,122.6,0,203.5,0,959.2,800,90,32.53
183.9,122.6,0,203.5,0,959.2,800,28,24.05
183.9,122.6,0,203.5,0,959.2,800,7,10.79
193.5,290.2,0,185.7,0,998.2,704.3,28,32.63
193.5,290.2,0,185.7,0,998.2,704.3,7,17.2
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,37.34
194.7,0,100.5,170.2,7.5,998,901.8,3,12.18
194.7,0,100.5,170.2,7.5,998,901.8,14,24.28
194.7,0,100.5,170.2,7.5,998,901.8,28,37.27
194.7,0,100.5,170.2,7.5,998,901.8,56,43.39
194.7,0,100.5,170.2,7.5,998,901.8,100,44.28
184,86,190,213,6,923,623,28,22.93
192,288,0,192,0,929.8,716.1,3,12.79
192,288,0,192,0,929.8,716.1,28,39.32
192,288,0,192,0,929.8,716.1,90,50.73
192,288,0,192,0,929.8,716.1,7,21.48
200,200,0,190,0,1145,660,28,49.25
200,0,0,180,0,1125,845,7,7.84
200,0,0,180,0,1125,845,28,12.25
198.6,132.4,0,192,0,978.4,825.5,360,44.3
198.6,132.4,0,192,0,978.4,825.5,90,38.07
198.6,132.4,0,192,0,978.4,825.5,28,28.02
198.6,132.4,0,192,0,978.4,825.5,180,41.72
198.6,132.4,0,192,0,978.4,825.5,7,14.64
198.6,132.4,0,192,0,978.4,825.5,3,9.13
190,190,0,228,0,932,670,90,42.33
190,190,0,228,0,932,670,365,53.69
190,190,0,228,0,932,670,180,46.93
190,190,0,228,0,932,670,270,50.66
190,190,0,228,0,932,670,28,40.86
203.5,135.7,0,185.7,0,1076.2,759.3,7,11.96
203.5,135.7,0,185.7,0,1076.2,759.3,28,22.63
200,133,0,192,0,965.4,806.2,3,11.41
200,133,0,192,0,965.4,806.2,7,17.17
200,133,0,192,0,965.4,806.2,28,30.44
200,133,0,192,0,965.4,806.2,90,43.25
202,11,141,206,1.7,942,801,28,21.97
202,11,141,206,1.7,942,801,3,9.85
202,11,141,206,1.7,942,801,7,15.07
202,11,141,206,1.7,942,801,56,23.25
203.5,305.3,0,203.5,0,963.4,630,7,19.54
203.5,305.3,0,203.5,0,963.4,630,28,41.68
203.5,305.3,0,203.5,0,963.4,630,3,9.56
203.5,305.3,0,203.5,0,963.4,630,90,51.86
210.7,316.1,0,185.7,0,977,689.3,7,21.82
210.7,316.1,0,185.7,0,977,689.3,28,37.81
212,0,124.8,159,7.8,1085.4,799.5,3,19.52
212,0,124.8,159,7.8,1085.4,799.5,14,31.35
212,0,124.8,159,7.8,1085.4,799.5,28,38.5
212,0,124.8,159,7.8,1085.4,799.5,56,45.08
212,0,124.8,159,7.8,1085.4,799.5,100,47.82
212.5,0,100.4,159.3,8.7,1007.8,903.6,3,13.54
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,26.31
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64
212.5,0,100.4,159.3,8.7,1007.8,903.6,56,42.55
212.5,0,100.4,159.3,8.7,1007.8,903.6,100,42.92
212.6,0,100.4,159.4,10.4,1003.8,903.8,3,13.33
212.6,0,100.4,159.4,10.4,1003.8,903.8,14,25.37
212.6,0,100.4,159.4,10.4,1003.8,903.8,28,37.4
212.6,0,100.4,159.4,10.4,1003.8,903.8,56,44.4
212.6,0,100.4,159.4,10.4,1003.8,903.8,100,47.74
213.5,0,174.2,154.6,11.7,1052.3,775.5,3,17.37
213.5,0,174.2,154.6,11.7,1052.3,775.5,14,33.7
213.5,0,174.2,154.6,11.7,1052.3,775.5,28,45.94
213.5,0,174.2,154.6,11.7,1052.3,775.5,56,51.43
213.5,0,174.2,154.6,11.7,1052.3,775.5,100,59.3
213.7,0,174.7,154.8,10.2,1053.5,776.4,3,17.57
213.7,0,174.7,154.8,10.2,1053.5,776.4,14,33.73
213.7,0,174.7,154.8,10.2,1053.5,776.4,28,40.15
213.7,0,174.7,154.8,10.2,1053.5,776.4,56,46.64
213.7,0,174.7,154.8,10.2,1053.5,776.4,100,50.08
213.5,0,174.2,159.2,11.7,1043.6,771.9,3,15.61
213.5,0,174.2,159.2,11.7,1043.6,771.9,14,29.59
213.5,0,174.2,159.2,11.7,1043.6,771.9,28,44.64
213.5,0,174.2,159.2,11.7,1043.6,771.9,56,51.26
213.5,0,174.2,159.2,11.7,1043.6,771.9,100,52.96
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
213.8,98.1,24.5,181.7,6.7,1066,785.5,14,17.84
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,40.23
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,47.13
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,12.47
212.1,0,121.6,180.3,5.7,1057.6,779.3,14,20.92
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9
212.1,0,121.6,180.3,5.7,1057.6,779.3,56,34.2
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,55.51
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,63.53
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
218.9,0,124.1,158.5,11.3,1078.7,794.9,3,15.34
218.9,0,124.1,158.5,11.3,1078.7,794.9,14,26.05
218.9,0,124.1,158.5,11.3,1078.7,794.9,28,30.22
218.9,0,124.1,158.5,11.3,1078.7,794.9,56,37.27
218.9,0,124.1,158.5,11.3,1078.7,794.9,100,46.23
212,141.3,0,203.5,0,973.4,750,7,15.03
212,141.3,0,203.5,0,973.4,750,28,33
212,141.3,0,203.5,0,973.4,750,3,6.81
212,141.3,0,203.5,0,973.4,750,90,39.7
220.8,147.2,0,185.7,0,1055,744.3,28,25.75
220.8,147.2,0,185.7,0,1055,744.3,7,13.09
222.4,0,96.7,189.3,4.5,967.1,870.3,3,11.58
222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45
222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89
222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45
222.4,0,96.7,189.3,4.5,967.1,870.3,100,40.71
228,342.1,0,185.7,0,955.8,674.3,28,39.7
228,342.1,0,185.7,0,955.8,674.3,7,21.92
225,0,0,181,0,1113,833,7,11.17
225,0,0,181,0,1113,833,28,17.34
231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44
231.8,0,121.6,174,6.7,1056.4,778.5,14,26.77
231.8,0,121.6,174,6.7,1056.4,778.5,28,33.73
231.8,0,121.6,174,6.7,1056.4,778.5,56,42.7
231.8,0,121.6,174,6.7,1056.4,778.5,100,45.84
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32
229.7,0,118.2,195.2,6.1,1028.1,757.6,28,24.54
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,31.35
229.7,0,118.2,195.2,6.1,1028.1,757.6,100,40.86
230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03
230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48
230,0,118.3,195.5,4.6,1029.4,758.6,56,31.54
230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34
239.6,359.4,0,185.7,0,941.6,664.3,7,25.42
239.6,359.4,0,185.7,0,941.6,664.3,28,39.44
233.8,0,94.6,197.9,4.6,947,852.2,3,10.38
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
233.8,0,94.6,197.9,4.6,947,852.2,28,22.84
233.8,0,94.6,197.9,4.6,947,852.2,56,27.66
233.8,0,94.6,197.9,4.6,947,852.2,100,34.56
234,156,0,189,5.9,981,760,28,39.3
238.2,158.8,0,185.7,0,1040.6,734.3,7,15.69
238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91
238,0,0,186,0,1119,789,7,12.05
238,0,0,186,0,1119,789,28,17.54
238.1,0,0,185.7,0,1118.8,789.3,28,17.58
238.1,0,0,185.7,0,1118.8,789.3,7,10.34
238,0,0,185,0,1118,789,28,17.54
246.8,0,125.1,143.3,12,1086.8,800.9,3,23.52
246.8,0,125.1,143.3,12,1086.8,800.9,14,42.22
246.8,0,125.1,143.3,12,1086.8,800.9,28,52.5
246.8,0,125.1,143.3,12,1086.8,800.9,56,60.32
246.8,0,125.1,143.3,12,1086.8,800.9,100,66.42
236,157,0,192,0,972.6,749.1,7,20.42
236,157,0,192,0,972.6,749.1,3,13.57
236,157,0,192,0,972.6,749.1,90,47.78
236,157,0,192,0,972.6,749.1,28,32.88
238.1,0,94.1,186.7,7,949.9,847,3,19.93
238.1,0,94.1,186.7,7,949.9,847,14,25.69
238.1,0,94.1,186.7,7,949.9,847,28,30.23
238.1,0,94.1,186.7,7,949.9,847,56,39.59
238.1,0,94.1,186.7,7,949.9,847,100,44.3
236,0,0,194,0,968,885,3,6.47
236,0,0,194,0,968,885,14,12.84
236,0,0,194,0,968,885,28,18.42
236,0,0,194,0,968,885,90,21.95
236,0,0,193,0,968,885,180,24.1
236,0,0,193,0,968,885,365,25.08
236,0,0,193,0,968,885,7,9.99
249.1,0,98.8,158.1,12.8,987.8,889,3,15.36
249.1,0,98.8,158.1,12.8,987.8,889,14,28.68
249.1,0,98.8,158.1,12.8,987.8,889,28,30.85
249.1,0,98.8,158.1,12.8,987.8,889,56,42.03
249.1,0,98.8,158.1,12.8,987.8,889,100,51.06
251.8,0,99.9,146.1,12.4,1006,899.8,3,21.02
251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36
251.8,0,99.9,146.1,12.4,1006,899.8,28,33.94
251.8,0,99.9,146.1,12.4,1006,899.8,56,44.14
251.8,0,99.9,146.1,12.4,1006,899.8,100,45.37
252.3,0,98.8,146.3,14.2,987.8,889,3,21.78
252.3,0,98.8,146.3,14.2,987.8,889,14,42.29
252.3,0,98.8,146.3,14.2,987.8,889,28,50.6
252.3,0,98.8,146.3,14.2,987.8,889,56,55.83
252.3,0,98.8,146.3,14.2,987.8,889,100,60.95
250,0,95.7,187.4,5.5,956.9,861.2,3,13.82
250,0,95.7,187.4,5.5,956.9,861.2,14,24.92
250,0,95.7,187.4,5.5,956.9,861.2,28,29.22
250,0,95.7,187.4,5.5,956.9,861.2,56,38.33
250,0,95.7,187.4,5.5,956.9,861.2,100,42.35
250,180,95,159,9.5,860,800,28,67.87
251.4,0,118.3,192.9,5.8,1043.6,754.3,3,11.98
251.4,0,118.3,192.9,5.8,1043.6,754.3,14,20.73
251.4,0,118.3,192.9,5.8,1043.6,754.3,28,33.27
251.4,0,118.3,192.9,5.8,1043.6,754.3,56,39.27
251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15
250,0,0,182,0,1100,820,7,12.73
250,0,0,182,0,1100,820,28,20.87
250,0,95.7,191.8,5.3,948.9,857.2,3,8.49
250,0,95.7,191.8,5.3,948.9,857.2,14,24.66
250,0,95.7,191.8,5.3,948.9,857.2,28,27.22
250,0,95.7,191.8,5.3,948.9,857.2,56,39.64
250,0,95.7,191.8,5.3,948.9,857.2,100,41.16
237.5,237.5,0,228,0,932,594,270,38.41
237.5,237.5,0,228,0,932,594,28,30.08
237.5,237.5,0,228,0,932,594,180,36.25
237.5,237.5,0,228,0,932,594,365,39
237.5,237.5,0,228,0,932,594,7,26.26
237.5,237.5,0,228,0,932,594,90,33.12
251.4,0,118.3,188.5,6.4,1028.4,757.7,3,13.12
251.4,0,118.3,188.5,6.4,1028.4,757.7,14,24.43
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64
251.4,0,118.3,188.5,6.4,1028.4,757.7,100,44.21
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,17.22
251.4,0,118.3,188.5,5.8,1028.4,757.7,14,29.93
251.4,0,118.3,188.5,5.8,1028.4,757.7,28,29.65
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,36.97
251.4,0,118.3,188.5,5.8,1028.4,757.7,100,43.58
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.63
237,92,71,247,6,853,695,28,28.63
252,0,0,186,0,1111,784,7,11.47
252,0,0,185,0,1111,784,7,13.71
252,0,0,185,0,1111,784,28,19.69
252,0,0,185,0,1111,784,28,19.69
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.24
255.5,170.3,0,185.7,0,1026.6,724.3,28,32.05
252.5,0,0,185.7,0,1111.6,784.3,28,19.77
252.5,0,0,185.7,0,1111.6,784.3,7,11.48
250.2,166.8,0,203.5,0,977.6,694.1,90,47.71
250.2,166.8,0,203.5,0,977.6,694.1,7,19.35
250.2,166.8,0,203.5,0,977.6,694.1,3,9.73
250.2,166.8,0,203.5,0,977.6,694.1,28,36.96
252,97,76,194,8,835,821,28,33.4
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4
255,99,77,189,6,919,749,28,33.8
254,0,0,198,0,968,863,3,9.31
254,0,0,198,0,968,863,90,26.94
